ioc_12_2,ebird2021,comment
saucerottia beryllina,berhum,
saucerottia castaneiventris,chbhum1,
saucerottia cyanifrons,inchum1,
saucerottia cyanocephala,azchum1,
saucerottia cyanura,blthum1,
saucerottia edward,snbhum1,
saucerottia hoffmanni,buvhum1,
saucerottia saucerottei,stvhum2,
saucerottia tobaci,corhum1,
saucerottia viridigaster,grbhum1,
saudareos flavoviridis,yaglor3,
saudareos iris,irilor1,
saudareos johnstoniae,minlor1,
saudareos meyeri,yaglor2,
saudareos ornata,ornlor1,
saxicola caprata,piebus1,
saxicola dacotiae,caisto1,
saxicola ferreus,grybus1,
saxicola gutturalis,timbus1,
saxicola insignis,whtbus1,
saxicola jerdoni,jerbus1,
saxicola leucurus,whtsto2,
saxicola macrorhynchus,whbbus4,
saxicola maurus,sibsto1,
saxicola rubetra,whinch1,
saxicola rubicola,stonec4,
saxicola sibilla,afrsto1,
saxicola stejnegeri,stonec7,
saxicola tectes,reusto1,
saxicola torquatus,afrsto1,
sayornis nigricans,blkpho,
sayornis phoebe,easpho,
sayornis saya,saypho,
scelorchilus albicollis,whttap1,
scelorchilus rubecula,chutap1,
scenopoeetes dentirostris,tobcat2,
scepomycter rubehoensis,mrmwar1,
scepomycter winifredae,mrmwar1,
schetba rufa,rufvan1,
schiffornis aenea,thlsch8,
schiffornis major,varsch1,
schiffornis olivacea,thlsch7,
schiffornis stenorhyncha,thlsch4,
schiffornis turdina,thlsch3,
schiffornis veraepacis,thlsch2,
schiffornis virescens,gresch2,
schistes albogularis,webhum3,
schistes geoffroyi,webhum1,
schistochlamys melanopis,blftan1,
schistochlamys ruficapillus,cintan1,
schistolais leontica,silpri2,
schistolais leucopogon,whcpri2,
schoenicola platyurus,brtgra2,
schoenicola striatus,brigra2,
schoeniophylax phryganophilus,chospi2,
schoeniparus brunneus,dusful1,
schoeniparus castaneceps,ruwful1,
schoeniparus cinereus,yetful1,
schoeniparus dubius,rucful1,
schoeniparus klossi,bkcful1,
schoeniparus rufogularis,rutful1,
schoeniparus variegaticeps,gofful2,
schoutedenapus myoptilus,scaswi1,
sciaphylax castanea,zimant1,
sciaphylax hemimelaena,chtant2,
scissirostrum dubium,fibmyn2,
sclateria naevia,silant1,
scleroptila afra,gywfra1,
scleroptila elgonensis,moofra2,
scleroptila finschi,finfra2,
scleroptila gutturalis,orrfra2,
scleroptila levaillantii,rewfra2,
scleroptila psilolaema,moofra2,
scleroptila shelleyi,shefra2,
scleroptila streptophora,rinfra2,
sclerurus albigularis,grtlea1,
sclerurus caudacutus,bltlea1,
sclerurus guatemalensis,sctlea1,
sclerurus mexicanus,tatlea1,
sclerurus obscurior,soalea1,
sclerurus rufigularis,shblea1,
sclerurus scansor,rublea1,
scolopax bukidnonensis,bukwoo1,
scolopax celebensis,sulwoo1,
scolopax minor,amewoo,
scolopax mira,amawoo1,
scolopax rochussenii,molwoo1,
scolopax rosenbergii,duswoo3,
scolopax rusticola,eurwoo,
scolopax saturata,duswoo4,
scopus umbretta,hamerk1,
scotocerca inquieta,stswar1,
scotopelia bouvieri,vefowl1,
scotopelia peli,pefowl1,
scotopelia ussheri,rufowl1,
scytalopus acutirostris,tsctap1,
scytalopus affinis,anctap1,
scytalopus altirostris,nebtap1,
scytalopus alvarezlopezi,alptap1,
scytalopus androstictus,partap4,
scytalopus argentifrons,siftap1,
scytalopus atratus,whctap1,
scytalopus bolivianus,boltap1,
scytalopus canus,partap1,
scytalopus caracae,cartap1,
scytalopus chocoensis,chotap1,
scytalopus diamantinensis,diatap2,
scytalopus femoralis,ruvtap1,
scytalopus frankeae,miltap1,
scytalopus fuscus,dustap1,
scytalopus gettyae,juntap1,
scytalopus gonzagai,sertap1,
scytalopus griseicollis,mattap1,
scytalopus intermedius,blatap2,
scytalopus iraiensis,martap1,
scytalopus krabbei,whwtap1,
scytalopus latebricola,brrtap1,
scytalopus latrans,blatap1,
scytalopus macropus,laftap1,
scytalopus magellanicus,magtap1,
scytalopus meridanus,mertap1,
scytalopus micropterus,lottap1,
scytalopus novacapitalis,bratap1,
scytalopus opacus,partap2,
scytalopus pachecoi,platap1,
scytalopus panamensis,tactap1,
scytalopus parkeri,chutap2,
scytalopus parvirostris,tritap1,
scytalopus perijanus,pertap1,
scytalopus petrophilus,roctap1,
scytalopus robbinsi,ecutap1,
scytalopus rodriguezi,upmtap1,
scytalopus sanctaemartae,samtap1,
scytalopus schulenbergi,diatap1,
scytalopus simonsi,puntap1,
scytalopus speluncae,moctap1,
scytalopus spillmanni,spitap2,
scytalopus stilesi,stitap1,
scytalopus superciliaris,whbtap2,
scytalopus unicolor,unitap1,
scytalopus urubambae,viltap1,
scytalopus vicinior,nartap2,
scytalopus whitneyi,amptap1,
scytalopus zimmeri,zimtap1,
scythrops novaehollandiae,chbcuc2,
seiurus aurocapilla,ovenbi1,
selasphorus ardens,glthum1,
selasphorus calliope,calhum,
selasphorus ellioti,withum1,
selasphorus flammula,volhum1,
selasphorus heloisa,bumhum,
selasphorus platycercus,brthum,
selasphorus rufus,rufhum,
selasphorus sasin,allhum,
selasphorus scintilla,scihum1,
selenidera gouldii,goutou1,
selenidera maculirostris,spbtou1,
selenidera nattereri,tattou1,
selenidera piperivora,guitou1,
selenidera reinwardtii,goctou1,
selenidera spectabilis,yeetou1,
seleucidis melanoleucus,twwbop1,
semioptera wallacii,walsta2,
semnornis frantzii,prbbar1,
semnornis ramphastinus,toubar1,
sephanoides fernandensis,juffir1,
sephanoides sephaniodes,grbfir1,
sericornis beccarii,becscr1,
sericornis frontalis,whbscr1,
sericornis humilis,tasscr1,
sericornis keri,athscr1,
sericornis maculatus,whbscr1,
sericornis magnirostra,labscr2,
sericornis nouhuysi,larscr1,
sericornis virgatus,perscr1,
sericossypha albocristata,whctan1,
sericulus ardens,flabow2,
sericulus aureus,flabow3,
sericulus bakeri,fimbow1,
sericulus chrysocephalus,regbow1,
serilophus lunatus,sibbro1,
serinus alario,bkhcan2,
serinus canaria,comcan,
serinus canicollis,capcan1,
serinus flavivertex,yeccan1,
serinus nigriceps,abysis1,
serinus pusillus,fifser1,
serinus serinus,eurser1,
serinus syriacus,syrser1,
serpophaga cinerea,tortyr1,
serpophaga griseicapilla,gyctyr2,
serpophaga hypoleuca,rivtyr1,
serpophaga munda,whbtyr2,
serpophaga nigricans,sootyr1,
serpophaga subcristata,whctyr1,
setopagis heterura,samnig1,
setopagis maculosa,caynig1,
setopagis parvula,litnig1,
setopagis whitelyi,rornig1,
setophaga adelaidae,adewar1,
setophaga aestiva,yelwar,
setophaga americana,norpar,
setophaga angelae,elwwar1,
setophaga auduboni,yerwar,
setophaga caerulescens,btbwar,
setophaga castanea,babwar,
setophaga cerulea,cerwar,
setophaga chrysoparia,gchwar,
setophaga citrina,hoowar,
setophaga coronata,yerwar,
setophaga delicata,stlwar,
setophaga discolor,prawar,
setophaga dominica,yetwar,
setophaga flavescens,yetwar3,
setophaga fusca,bkbwar,
setophaga goldmani,yerwar,
setophaga graciae,grawar,
setophaga kirtlandii,kirwar,
setophaga magnolia,magwar,
setophaga nigrescens,btywar,
setophaga occidentalis,herwar,
setophaga palmarum,palwar,
setophaga pensylvanica,chswar,
setophaga petechia,yelwar,
setophaga pharetra,arrwar1,
setophaga pinus,pinwar,
setophaga pitiayumi,tropar,
setophaga pityophila,olcwar1,
setophaga plumbea,pluwar1,
setophaga ruticilla,amered,
setophaga striata,bkpwar,
setophaga subita,barwar,
setophaga tigrina,camwar,
setophaga townsendi,towwar,
setophaga virens,btnwar,
setophaga vitellina,vitwar1,
setornis criniger,hobbul1,
sheppardia aequatorialis,equaka1,
sheppardia aurantiithorax,rubaka1,
sheppardia bocagei,bocaka1,
sheppardia cyornithopsis,lowaka1,
sheppardia gabela,gabaka1,
sheppardia gunningi,eacaka1,
sheppardia lowei,iriaka1,
sheppardia montana,usaaka1,
sheppardia poensis,bocaka1,
sheppardia sharpei,shaaka1,
sholicola albiventris,whbsho3,
sholicola major,whbsho1,
sialia currucoides,moublu,
sialia mexicana,wesblu,
sialia sialis,easblu,
sibirionetta formosa,baitea,
sicalis auriventris,gryfin2,
sicalis citrina,styfin1,
sicalis columbiana,ofyfin1,
sicalis flaveola,saffin,
sicalis lebruni,payfin1,
sicalis lutea,puyfin1,
sicalis luteocephala,chyfin1,
sicalis luteola,gryfin1,
sicalis mendozae,monyef1,
sicalis olivascens,gryfin3,
sicalis raimondii,rayfin1,
sicalis taczanowskii,sutfin1,
sicalis uropigyalis,bryfin1,
silvicultrix diadema,yebcht1,
silvicultrix frontalis,crocht1,
silvicultrix jelskii,jelcht1,
silvicultrix pulchella,gobcht1,
silvicultrix spodionota,crocht1,
sinosuthora alphonsiana,astpar1,
sinosuthora brunnea,brwpar2,
sinosuthora conspicillata,spepar2,
sinosuthora przewalskii,rutpar2,
sinosuthora webbiana,vitpar1,
sinosuthora zappeyi,gyhpar4,
siphonorhis americana,jampau,
siphonorhis brewsteri,leapau1,
sipia berlepschi,sttant3,
sipia laemosticta,dumant1,
sipia nigricauda,esmant1,
sipia palliata,dumant3,
sipodotus wallacii,walfai1,
siptornis striaticollis,spepri1,
sirystes albocinereus,whrsir1,
sirystes albogriseus,siryst3,
sirystes sibilator,sibsir1,
sirystes subcanescens,todsir1,
sitta arctica,eurnut2,
sitta azurea,blunut1,
sitta canadensis,rebnut,
sitta carolinensis,whbnut,
sitta cashmirensis,kasnut1,
sitta castanea,chbnut2,
sitta cinnamoventris,chbnut3,
sitta europaea,eurnut2,
sitta formosa,beanut1,
sitta frontalis,vefnut1,
sitta himalayensis,whtnut1,
sitta insularis,bnhnut2,
sitta krueperi,krunut1,
sitta ledanti,algnut1,
sitta leucopsis,whcnut1,
sitta magna,gianut1,
sitta nagaensis,chvnut1,
sitta neglecta,chbnut4,
sitta neumayer,rocnut1,
sitta oenochlamys,subnut1,
sitta przewalskii,prznut1,
sitta pusilla,bnhnut,
sitta pygmaea,pygnut,
sitta solangiae,yebnut1,
sitta tephronota,pernut1,
sitta victoriae,whbnut1,
sitta villosa,snbnut1,
sitta whiteheadi,cornut1,
sitta yunnanensis,yunnut1,
sittasomus griseicapillus,oliwoo1,
sittiparus castaneoventris,vartit3,
sittiparus olivaceus,vartit2,
sittiparus owstoni,vartit4,
sittiparus semilarvatus,whftit2,
sittiparus varius,vartit1,
smicrornis brevirostris,weebil1,
smithornis capensis,afrbro1,
smithornis rufolateralis,rusbro1,
smithornis sharpei,gyhbro1,
snowornis cryptolophus,olipih2,
snowornis subalaris,gytpih1,
somateria fischeri,speeid,
somateria mollissima,comeid,
somateria spectabilis,kineid,
spartonoica maluroides,bcwspi1,
spatula clypeata,norsho,
spatula cyanoptera,cintea,
spatula discors,buwtea,
spatula hottentota,hottea1,
spatula platalea,redsho1,
spatula puna,puntea1,
spatula querquedula,gargan,
spatula rhynchotis,aussho1,
spatula smithii,capsho1,
spatula versicolor,siltea1,
speculanas specularis,speduc2,
speculipastor bicolor,magsta1,
spelaeornis badeigularis,miswrb1,
spelaeornis caudatus,rtwbab1,
spelaeornis chocolatinus,ltwbab1,
spelaeornis kinneari,patwrb1,
spelaeornis longicaudatus,tbwbab1,
spelaeornis oatesi,chhwrb1,
spelaeornis reptatus,gybwrb1,
spelaeornis troglodytoides,bwwbab1,
spermestes bicolor,bawman1,
spermestes cucullata,broman1,
spermestes fringilloides,magman1,
spermestes griseicapilla,gyhsil1,
spermestes nigriceps,bawman1,
spermophaga haematina,wesblu1,
spermophaga poliogenys,grablu1,
spermophaga ruficapilla,rehblu1,
sphecotheres hypoleucus,wetfig1,
sphecotheres vieilloti,ausfig1,
sphecotheres viridis,grnfig1,
spheniscus demersus,jacpen1,
spheniscus humboldti,humpen1,
spheniscus magellanicus,magpen1,
spheniscus mendiculus,galpen1,
sphenoeacus afer,capgra1,
sphenopsis frontalis,olehem1,
sphenopsis melanotis,blehem1,
sphenopsis ochracea,blehem1,
sphenopsis piurae,blehem1,
sphyrapicus nuchalis,rensap,
sphyrapicus ruber,rebsap,
sphyrapicus thyroideus,wilsap,
sphyrapicus varius,yebsap,
spilopelia chinensis,spodov,
spilopelia senegalensis,laudov1,
spiloptila clamans,crilon1,
spilornis cheela,crseag1,
spilornis elgini,anseag1,
spilornis holospilus,phseag1,
spilornis kinabaluensis,moseag1,
spilornis klossi,nicsee1,
spilornis rufipectus,suseag1,
spindalis dominicensis,hisspi,
spindalis nigricephala,jamspi,
spindalis portoricensis,purspi,
spindalis zena,wesspi,
spinus atratus,blasis1,
spinus atriceps,blcsis1,
spinus barbatus,blcsis2,
spinus crassirostris,thbsis1,
spinus cucullatus,redsis1,
spinus dominicensis,antsis1,
spinus lawrencei,lawgol,
spinus magellanicus,hoosis1,
spinus notatus,blhsis1,
spinus olivaceus,olisis1,
spinus pinus,pinsis,
spinus psaltria,lesgol,
spinus siemiradzkii,safsis1,
spinus spinescens,andsis1,
spinus spinus,eursis,
spinus thibetanus,tibser1,
spinus tristis,amegfi,
spinus uropygialis,yersis1,
spinus xanthogastrus,yebsis1,
spinus yarrellii,yefsis1,
spiza americana,dickci,
spizaetus isidori,baceag2,
spizaetus melanoleucus,bawhae1,
spizaetus ornatus,orheag1,
spizaetus tyrannus,blheag1,
spizella atrogularis,bkcspa,
spizella breweri,brespa,
spizella pallida,clcspa,
spizella passerina,chispa,
spizella pusilla,fiespa,
spizella wortheni,worspa,
spizelloides arborea,amtspa,
spiziapteryx circumcincta,spwfal2,
spizixos canifrons,crefin1,
spizixos semitorques,colfin1,
spizocorys conirostris,piblar1,
spizocorys fremantlii,shtlar1,
spizocorys fringillaris,botlar1,
spizocorys obbiensis,obblar1,
spizocorys personata,maslar1,
spizocorys sclateri,scllar1,
spizocorys starki,stalar2,
spodiopsar cineraceus,whcsta1,
spodiopsar sericeus,rebsta1,
sporathraupis cyanocephala,blctan2,
sporophila albogularis,whtsee1,
sporophila americana,wibsee1,
sporophila angolensis,cbsfin,
sporophila ardesiaca,dubsee1,
sporophila atrirostris,bbsfin1,
sporophila beltoni,trosee1,
sporophila bouvreuil,capsee1,
sporophila bouvronides,lessee2,
sporophila caerulescens,docsee1,
sporophila castaneiventris,chbsee1,
sporophila cinnamomea,chesee1,
sporophila collaris,rucsee1,
sporophila corvina,varsee3,
sporophila crassirostris,lbsfin1,
sporophila falcirostris,temsee1,
sporophila fringilloides,whnsee1,
sporophila frontalis,bufsee1,
sporophila funerea,tbsfin1,
sporophila hypochroma,rursee1,
sporophila hypoxantha,tabsee1,
sporophila intermedia,grysee1,
sporophila leucoptera,whbsee1,
sporophila lineola,linsee1,
sporophila luctuosa,bawsee1,
sporophila maximiliani,gbsfin1,
sporophila melanogaster,blbsee2,
sporophila minuta,rubsee1,
sporophila morelleti,whcsee1,
sporophila murallae,caqsee1,
sporophila nigricollis,yebsee1,
sporophila nigrorufa,batsee2,
sporophila nuttingi,nisfin1,
sporophila palustris,marsee1,
sporophila peruviana,pabsee1,
sporophila pileata,pebsee1,
sporophila plumbea,plusee1,
sporophila ruficollis,datsee1,
sporophila schistacea,slcsee1,
sporophila simplex,drasee1,
sporophila telasco,chtsee1,
sporophila torqueola,whcsee2,
sporopipes frontalis,spfwea1,
sporopipes squamifrons,scawea1,
stachyris grammiceps,whbbab2,
stachyris herberti,soobab1,
stachyris humei,wbwbab1,
stachyris leucotis,whnbab1,
stachyris maculata,chrbab1,
stachyris nigriceps,gytbab1,
stachyris nigricollis,bltbab1,
stachyris nonggangensis,nonbab1,
stachyris oglei,sntbab1,
stachyris poliocephala,gyhbab1,
stachyris roberti,chbbab1,
stachyris strialata,spnbab1,
stachyris thoracica,whbbab1,
stactolaema anchietae,ancbar1,
stactolaema leucotis,whebar1,
stactolaema olivacea,grebar2,
stactolaema whytii,whybar1,
stagonopleura bella,beafir1,
stagonopleura guttata,diafir1,
stagonopleura oculata,reefir1,
staphida castaniceps,stryuh1,
staphida everetti,chcyuh1,
staphida torqueola,indyuh1,
starnoenas cyanocephala,bhqdov1,
steatornis caripensis,oilbir1,
stelgidillas gracilirostris,slbgre1,
stelgidopteryx ruficollis,srwswa1,
stelgidopteryx serripennis,nrwswa,
stenostira scita,faifly1,
stephanoaetus coronatus,crheag1,
stephanophorus diadematus,diatan1,
stephanoxis lalandi,plover3,
stephanoxis loddigesii,plover4,
stercorarius antarcticus,brnsku3,
stercorarius chilensis,chisku1,
stercorarius longicaudus,lotjae,
stercorarius maccormicki,sopsku1,
stercorarius parasiticus,parjae,
stercorarius pomarinus,pomjae,
stercorarius skua,gresku1,
sterna acuticauda,blbter1,
sterna aurantia,rivter1,
sterna dougallii,roster,
sterna forsteri,forter,
sterna hirundinacea,soater1,
sterna hirundo,comter,
sterna paradisaea,arcter,
sterna repressa,whcter1,
sterna striata,whfter1,
sterna sumatrana,blnter1,
sterna trudeaui,truter,
sterna virgata,kerter1,
sterna vittata,antter1,
sternoclyta cyanopectus,vichum2,
sternula albifrons,litter1,
sternula antillarum,leater1,
sternula balaenarum,damter2,
sternula lorata,perter2,
sternula nereis,faiter2,
sternula saundersi,sauter2,
sternula superciliaris,yebter2,
sterrhoptilus affinis,blcbab3,
sterrhoptilus capitalis,rucbab3,
sterrhoptilus dennistouni,gocbab1,
sterrhoptilus nigrocapitatus,blcbab3,
stictonetta naevosa,freduc1,
stigmatura budytoides,grwtyr1,
stigmatura napensis,lewtyr1,
stilpnia argyrofenges,gnttan1,
stilpnia cayana,bubtan2,
stilpnia cucullata,leatan1,
stilpnia cyanicollis,blntan1,
stilpnia cyanoptera,blhtan1,
stilpnia heinei,blctan1,
stilpnia larvata,gohtan1,
stilpnia meyerdeschauenseei,grctan1,
stilpnia nigrocincta,mastan1,
stilpnia peruviana,blbtan1,
stilpnia phillipsi,sirtan1,
stilpnia preciosa,chbtan1,
stilpnia viridicollis,siltan1,
stilpnia vitriolina,scrtan1,
stiltia isabella,auspra1,
stiphrornis erythrothorax,forrob1,
stipiturus malachurus,souemu1,
stipiturus mallee,malemu1,
stipiturus ruficeps,rucemu1,
stizoptera bichenovii,dobfin1,
stizorhina finschi,fifthr1,
stizorhina fraseri,rufthr1,
stomiopera flava,yelhon1,
stomiopera unicolor,whghon1,
strepera fuliginosa,blacur2,
strepera graculina,piecur1,
strepera versicolor,grycur1,
streptocitta albertinae,baemyn1,
streptocitta albicollis,whnmyn1,
streptopelia bitorquata,iscdov1,
streptopelia capicola,rindov,
streptopelia decaocto,eucdov,
streptopelia decipiens,afmdov1,
streptopelia dusumieri,phicod1,
streptopelia hypopyrrha,adtdov1,
streptopelia lugens,dutdov1,
streptopelia orientalis,ortdov,
streptopelia reichenowi,wwcdov1,
streptopelia roseogrisea,afcdov1,
streptopelia semitorquata,reedov1,
streptopelia tranquebarica,recdov1,
streptopelia turtur,eutdov,
streptopelia vinacea,vindov1,
streptopelia xanthocycla,eucdov,
streptoprocne biscutata,bisswi1,
streptoprocne phelpsi,tepswi1,
streptoprocne rutila,chcswi1,
streptoprocne semicollaris,whnswi1,
streptoprocne zonaris,whcswi,
stresemannia bougainvillei,bouhon1,
strigops habroptila,kakapo2,
strix albitarsis,rubowl3,
strix aluco,tawowl1,
strix butleri,omaowl1,
strix chacoensis,chaowl1,
strix davidi,pedowl1,
strix fulvescens,fulowl1,
strix hadorami,humowl1,
strix huhula,bkbowl1,
strix hylophila,rubowl2,
strix leptogrammica,brwowl1,
strix mauritanica,tawowl3,
strix nebulosa,grgowl,
strix nigrolineata,bawowl1,
strix nivicolum,himowl1,
strix occidentalis,spoowl,
strix ocellata,mowowl1,
strix rufipes,rulowl1,
strix sartorii,barowl13,
strix seloputo,spwowl1,
strix uralensis,uraowl1,
strix varia,brdowl,
strix virgata,motowl,
strix woodfordii,afwowl1,
struthidea cinerea,apostl1,
struthio camelus,ostric2,
struthio molybdophanes,ostric3,
sturnella lilianae,easmea,
sturnella magna,easmea,
sturnella neglecta,wesmea,
sturnia blythii,malsta1,
sturnia erythropygia,whhsta2,
sturnia malabarica,chtsta2,
sturnia pagodarum,brasta1,
sturnia sinensis,whssta2,
sturnornis albofrontatus,whfsta2,
sturnus unicolor,sposta1,
sturnus vulgaris,eursta,
sublegatus arenarum,nosfly1,
sublegatus modestus,sosfly1,
sublegatus obscurior,amsfly1,
sugomel lombokium,sunhon1,
sugomel nigrum,blahon1,
suiriri suiriri,suifly1,
sula dactylatra,masboo,
sula granti,nazboo1,
sula leucogaster,brnboo,
sula nebouxii,bfoboo,
sula sula,refboo,
sula variegata,perboo1,
surnia ulula,nohowl,
surniculus dicruroides,asidrc2,
surniculus lugubris,asidrc3,
surniculus musschenbroeki,asidrc4,
surniculus velutinus,phidrc1,
suthora fulvifrons,fulpar1,
suthora nipalensis,bltpar1,
suthora verreauxi,golpar2,
swynnertonia swynnertoni,swyrob1,
sylvia abyssinica,afhbab1,
sylvia atricapilla,blackc1,
sylvia atriceps,afhbab3,
sylvia borin,garwar1,
sylvia dohrni,dohthb1,
sylvia galinieri,abycat1,
sylvia nigricapillus,busbla1,
sylvietta brachyura,norcro1,
sylvietta denti,lebcro1,
sylvietta isabellina,somcro1,
sylvietta leucophrys,whbcro2,
sylvietta philippae,shbcro1,
sylvietta rufescens,capcro1,
sylvietta ruficapilla,reccro1,
sylvietta virens,grecro1,
sylvietta whytii,refcro1,
sylviorthorhynchus desmurii,demwir1,
sylviorthorhynchus yanacensis,tatspi1,
sylviparus modestus,yebtit3,
syma megarhyncha,moukin1,
syma torotoro,yebkin1,
symposiachrus axillaris,blamon1,
symposiachrus barbatus,bawmon1,
symposiachrus bimaculatus,spemon1,
symposiachrus boanensis,blcmon1,
symposiachrus brehmii,biamon1,
symposiachrus browni,kulmon1,
symposiachrus everetti,whtmon2,
symposiachrus guttula,spwmon1,
symposiachrus infelix,manmon1,
symposiachrus julianae,blbmon1,
symposiachrus leucurus,whtmon1,
symposiachrus loricatus,bltmon2,
symposiachrus manadensis,hoomon1,
symposiachrus melanopterus,spemon1,
symposiachrus menckei,whbmon1,
symposiachrus mundus,blbmon2,
symposiachrus rubiensis,rufmon1,
symposiachrus sacerdotum,flomon1,
symposiachrus trivirgatus,spemon1,
symposiachrus verticalis,bltmon1,
symposiachrus vidua,whcmon2,
synallaxis albescens,pabspi1,
synallaxis albigularis,dabspi1,
synallaxis albilora,whlspi1,
synallaxis azarae,azaspi1,
synallaxis beverlyae,riospi1,
synallaxis brachyura,slaspi1,
synallaxis cabanisi,cabspi1,
synallaxis candei,whwspi1,
synallaxis castanea,bltspi1,
synallaxis cherriei,chtspi1,
synallaxis chinchipensis,necspi3,
synallaxis cinerascens,gybspi1,
synallaxis cinerea,bahspi1,
synallaxis cinnamomea,stbspi1,
synallaxis courseni,apuspi1,
synallaxis erythrothorax,rubspi2,
synallaxis frontalis,sofspi1,
synallaxis fuscorufa,ruhspi1,
synallaxis gujanensis,plcspi1,
synallaxis hellmayri,resspi2,
synallaxis hypochondriaca,grespi2,
synallaxis hypospodia,cibspi1,
synallaxis infuscata,pinspi1,
synallaxis kollari,hotspi1,
synallaxis macconnelli,mccspi1,
synallaxis maranonica,marspi3,
synallaxis moesta,dusspi1,
synallaxis ruficapilla,rucspi1,
synallaxis rutilans,rudspi1,
synallaxis scutata,occspi1,
synallaxis spixi,spispi1,
synallaxis stictothorax,necspi1,
synallaxis subpudica,sitspi1,
synallaxis tithys,blhspi1,
synallaxis unirufa,rufspi1,
synallaxis zimmeri,rubspi3,
syndactyla dimidiata,rumfog1,
syndactyla guttulata,gufgle1,
syndactyla roraimae,wtfgle1,
syndactyla ruficollis,rnfgle1,
syndactyla rufosuperciliata,bbfgle1,
syndactyla striata,bolrec1,
syndactyla subalaris,lifgle1,
syndactyla ucayalae,perrec1,
synoicus adansonii,bluqua1,
synoicus chinensis,blbqua1,
synoicus monorthonyx,snmqua2,
synoicus ypsilophorus,broqua1,
synorhacma multistriata,strlor1,
synthliboramphus antiquus,ancmur,
synthliboramphus craveri,cramur,
synthliboramphus hypoleucus,xanmur1,
synthliboramphus scrippsi,xanmur2,
synthliboramphus wumizusume,japmur1,
sypheotides indicus,lesflo2,
syrigma sibilatrix,whiher1,
syrmaticus ellioti,ellphe1,
syrmaticus humiae,humphe1,
syrmaticus mikado,mikphe1,
syrmaticus reevesii,reephe1,
syrmaticus soemmerringii,copphe1,
syrrhaptes paradoxus,palsan1,
syrrhaptes tibetanus,tibsan1,
syrtidicola fluviatilis,ligtyr1,
systellura decussata,bawnig3,
systellura longirostris,bawnig1,
taccocua leschenaultii,sirmal1,
tachornis furcata,pygswi1,
tachornis phoenicobia,anpswi,
tachornis squamata,ftpswi1,
tachuris rubrigastra,mcrtyr1,
tachybaptus dominicus,leagre,
tachybaptus novaehollandiae,ausgre1,
tachybaptus pelzelnii,madgre1,
tachybaptus ruficollis,litgre1,
tachybaptus rufolavatus,alagre1,
tachybaptus tricolor,litgre1,
tachycineta albilinea,manswa1,
tachycineta albiventer,whwswa1,
tachycineta bicolor,treswa,
tachycineta cyaneoviridis,bahswa,
tachycineta euchrysea,golswa1,
tachycineta leucopyga,chiswa1,
tachycineta leucorrhoa,whrswa1,
tachycineta stolzmanni,tumswa1,
tachycineta thalassina,vigswa,
tachyeres brachypterus,falstd1,
tachyeres leucocephalus,whhstd1,
tachyeres patachonicus,flystd1,
tachyeres pteneres,flistd1,
tachymarptis aequatorialis,motswi2,
tachymarptis melba,alpswi1,
tachyphonus coronatus,ructan1,
tachyphonus delatrii,tactan1,
tachyphonus phoenicius,restan1,
tachyphonus rufus,whltan1,
tachyphonus surinamus,fuctan1,
tadorna cana,soashe1,
tadorna cristata,creshe1,
tadorna ferruginea,rudshe,
tadorna tadorna,comshe,
tadorna tadornoides,ausshe1,
tadorna variegata,parshe1,
taenioptynx brodiei,colowl1,
taenioptynx sylvaticus,colowl3,
taeniopygia castanotis,zebfin2,
taeniopygia guttata,zebfin2,
taeniotriccus andrei,blctyr2,
talaphorus chlorocercus,olshum1,
talegalla cuvieri,rebbrt1,
talegalla fuscirostris,bkbbrt1,
talegalla jobiensis,bncbrt1,
tangara arthus,goltan1,
tangara callophrys,opctan1,
tangara chilensis,partan1,
tangara chrysotis,goetan1,
tangara cyanocephala,rentan1,
tangara cyanotis,blbtan3,
tangara cyanoventris,gietan1,
tangara desmaresti,brbtan1,
tangara dowii,spctan1,
tangara fastuosa,sectan1,
tangara florida,emetan1,
tangara fucosa,grntan1,
tangara gyrola,bahtan1,
tangara icterocephala,sittan1,
tangara inornata,plctan1,
tangara johannae,blwtan1,
tangara labradorides,megtan1,
tangara lavinia,ruwtan1,
tangara mexicana,turtan1,
tangara nigroviridis,bestan1,
tangara parzudakii,flftan1,
tangara rufigenis,ructan2,
tangara schrankii,gagtan2,
tangara seledon,grhtan2,
tangara vassorii,babtan1,
tangara velia,oprtan1,
tangara xanthocephala,sactan1,
tanygnathus everetti,azrpar1,
tanygnathus gramineus,bllpar1,
tanygnathus lucionensis,blnpar1,
tanygnathus megalorynchos,grbpar1,
tanygnathus sumatranus,azrpar1,
tanysiptera carolinae,nupkin1,
tanysiptera danae,bhpkin1,
tanysiptera ellioti,kopkin1,
tanysiptera galatea,copkin1,
tanysiptera hydrocharis,lipkin1,
tanysiptera nigriceps,bubpak2,
tanysiptera nympha,rbpkin1,
tanysiptera riedelii,bipkin1,
tanysiptera sylvia,bubpak1,
taoniscus nanus,dwatin1,
tapera naevia,strcuc1,
taphrolesbia griseiventris,gybcom1,
taphrospilus hypostictus,mashum1,
taraba major,greant1,
tarphonomus certhioides,chaear1,
tarphonomus harterti,bolear1,
tarsiger chrysaeus,gobrob1,
tarsiger cyanurus,refblu,
tarsiger hyperythrus,rbbrob1,
tarsiger indicus,wbbrob1,
tarsiger johnstoniae,cobrob1,
tarsiger rufilatus,himblu1,
