birdnet,comment
Microbates cinereiventris,Tawny-faced Gnatwren
Microcentrum rhombifolium,Greater Angle-wing
Microcerculus marginatus,Scaly-breasted Wren
Microcerculus philomela,Nightingale Wren
Microeca flavigaster,Lemon-bellied Flycatcher
Micropternus brachyurus,Rufous Woodpecker
Microrhopias quixensis,Dot-winged Antwren
Milvago chimachima,Yellow-headed Caracara
Milvago chimango,Chimango Caracara
Milvus migrans,Black Kite
Milvus milvus,Red Kite
Mimus gilvus,Tropical Mockingbird
Mimus longicaudatus,Long-tailed Mockingbird
Mimus polyglottos,Northern Mockingbird
Mimus saturninus,Chalk-browed Mockingbird
Mimus thenca,Chilean Mockingbird
Miogryllus saussurei,Miogryllus saussurei
Mionectes oleagineus,Ochre-bellied Flycatcher
Mionectes olivaceus,Olive-striped Flycatcher
Mionectes rufiventris,Gray-hooded Flycatcher
Mirafra affinis,Jerdon's Bushlark
Mirafra africana,Rufous-naped Lark
Mirafra erythroptera,Indian Bushlark
Mirafra javanica,Australasian Bushlark
Mitrephanes phaeocercus,Tufted Flycatcher
Mitrospingus cassinii,Dusky-faced Tanager
Mixornis gularis,Pin-striped Tit-Babbler
Mniotilta varia,Black-and-white Warbler
Mohoua albicilla,Whitehead
Molothrus aeneus,Bronzed Cowbird
Molothrus ater,Brown-headed Cowbird
Molothrus bonariensis,Shiny Cowbird
Molothrus oryzivorus,Giant Cowbird
Molothrus rufoaxillaris,Screaming Cowbird
Momotus aequatorialis,Andean Motmot
Momotus lessonii,Lesson's Motmot
Momotus mexicanus,Russet-crowned Motmot
Momotus momota,Amazonian Motmot
Momotus subrufescens,Whooping Motmot
Monasa morphoeus,White-fronted Nunbird
Monasa nigrifrons,Black-fronted Nunbird
Monticola saxatilis,Rufous-tailed Rock-Thrush
Monticola solitarius,Blue Rock-Thrush
Morococcyx erythropygus,Lesser Ground-Cuckoo
Morus bassanus,Northern Gannet
Motacilla aguimp,African Pied Wagtail
Motacilla alba,White Wagtail
Motacilla cinerea,Gray Wagtail
Motacilla citreola,Citrine Wagtail
Motacilla flava,Western Yellow Wagtail
Motacilla maderaspatensis,White-browed Wagtail
Motacilla tschutschensis,Eastern Yellow Wagtail
Muscicapa adusta,African Dusky Flycatcher
Muscicapa dauurica,Asian Brown Flycatcher
Muscicapa griseisticta,Gray-streaked Flycatcher
Muscicapa striata,Spotted Flycatcher
Mustelirallus albicollis,Ash-throated Crake
Myadestes melanops,Black-faced Solitaire
Myadestes obscurus,Omao
Myadestes occidentalis,Brown-backed Solitaire
Myadestes palmeri,Puaiohi
Myadestes ralloides,Andean Solitaire
Myadestes townsendi,Townsend's Solitaire
Myadestes unicolor,Slate-colored Solitaire
Myiagra alecto,Shining Flycatcher
Myiagra inquieta,Restless Flycatcher
Myiagra rubecula,Leaden Flycatcher
Myiarchus cephalotes,Pale-edged Flycatcher
Myiarchus cinerascens,Ash-throated Flycatcher
Myiarchus crinitus,Great Crested Flycatcher
Myiarchus ferox,Short-crested Flycatcher
Myiarchus nuttingi,Nutting's Flycatcher
Myiarchus sagrae,La Sagra's Flycatcher
Myiarchus swainsoni,Swainson's Flycatcher
Myiarchus tuberculifer,Dusky-capped Flycatcher
Myiarchus tyrannulus,Brown-crested Flycatcher
Myioborus melanocephalus,Spectacled Redstart
Myioborus miniatus,Slate-throated Redstart
Myioborus ornatus,Golden-fronted Redstart
Myioborus pictus,Painted Redstart
Myiodynastes chrysocephalus,Golden-crowned Flycatcher
Myiodynastes luteiventris,Sulphur-bellied Flycatcher
Myiodynastes maculatus,Streaked Flycatcher
Myiomela leucura,White-tailed Robin
Myiopagis caniceps,Gray Elaenia
Myiopagis gaimardii,Forest Elaenia
Myiopagis viridicata,Greenish Elaenia
Myiophobus fasciatus,Bran-colored Flycatcher
Myiopsitta monachus,Monk Parakeet
Myiornis atricapillus,Black-capped Pygmy-Tyrant
Myiornis auricularis,Eared Pygmy-Tyrant
Myiornis ecaudatus,Short-tailed Pygmy-Tyrant
Myiotheretes striaticollis,Streak-throated Bush-Tyrant
Myiothlypis coronata,Russet-crowned Warbler
Myiothlypis flaveola,Flavescent Warbler
Myiothlypis fulvicauda,Buff-rumped Warbler
Myiothlypis leucoblephara,White-browed Warbler
Myiothlypis nigrocristata,Black-crested Warbler
Myiothlypis rivularis,Riverbank Warbler
Myiotriccus ornatus,Ornate Flycatcher
Myiozetetes cayanensis,Rusty-margined Flycatcher
Myiozetetes granadensis,Gray-capped Flycatcher
Myiozetetes similis,Social Flycatcher
Myophonus caeruleus,Blue Whistling-Thrush
Myophonus horsfieldii,Malabar Whistling-Thrush
Myrmeciza longipes,White-bellied Antbird
Myrmoborus leucophrys,White-browed Antbird
Myrmoborus myotherinus,Black-faced Antbird
Myrmophylax atrothorax,Black-throated Antbird
Myrmothera dives,Thicket Antpitta
Myrmotherula axillaris,White-flanked Antwren
Myrmotherula brachyura,Pygmy Antwren
Myrmotherula menetriesii,Gray Antwren
Myrmotherula pacifica,Pacific Antwren
Myrmotherula schisticolor,Slaty Antwren
Myzomela sanguinolenta,Scarlet Myzomela
Nannopterum auritum,Double-crested Cormorant
Nannopterum brasilianum,Neotropic Cormorant
Nasica longirostris,Long-billed Woodcreeper
Nectarinia famosa,Malachite Sunbird
Nemosia pileata,Hooded Tanager
Neoconocephalus bivocatus,False Robust Conehead
Neoconocephalus ensiger,Sword-bearing Conehead
Neoconocephalus retusus,Round-tipped Conehead
Neoconocephalus robustus,Robust Conehead
Neonemobius cubensis,Cuban Ground Cricket
Nesoptilotis flavicollis,Yellow-throated Honeyeater
Nilaus afer,Brubru
Niltava grandis,Large Niltava
Niltava macgrigoriae,Small Niltava
Ninox boobook,Southern Boobook
Ninox novaeseelandiae,Morepork
Ninox scutulata,Brown Boobook
Ninox strenua,Powerful Owl
Nisaetus cirrhatus,Changeable Hawk-Eagle
Noise,Noise
Notharchus hyperrhynchus,White-necked Puffbird
Notharchus tectus,Pied Puffbird
Nothura maculosa,Spotted Nothura
Nucifraga caryocatactes,Eurasian Nutcracker
Nucifraga columbiana,Clark's Nutcracker
Numenius americanus,Long-billed Curlew
Numenius arquata,Eurasian Curlew
Numenius phaeopus,Whimbrel
Numenius tahitiensis,Bristle-thighed Curlew
Numida meleagris,Helmeted Guineafowl
Nyctanassa violacea,Yellow-crowned Night-Heron
Nyctibius grandis,Great Potoo
Nyctibius griseus,Common Potoo
Nycticorax nycticorax,Black-crowned Night-Heron
Nyctidromus albicollis,Common Pauraque
Nystalus chacuru,White-eared Puffbird
Nystalus maculatus,Spot-backed Puffbird
Ochthoeca cinnamomeiventris,Slaty-backed Chat-Tyrant
Ochthoeca fumicolor,Brown-backed Chat-Tyrant
Ochthoeca rufipectoralis,Rufous-breasted Chat-Tyrant
Ocreatus underwoodii,Booted Racket-tail
Ocyceros birostris,Indian Gray Hornbill
Ocyceros griseus,Malabar Gray Hornbill
Odocoileus virginianus,White-tailed Deer
Odontophorus guttatus,Spotted Wood-Quail
Odontophorus hyperythrus,Chestnut Wood-Quail
Oecanthus celerinictus,Fast-calling Tree Cricket
Oecanthus exclamationis,Davis's Tree Cricket
Oecanthus fultoni,Snowy Tree Cricket
Oecanthus nigricornis,Blackhorned Tree Cricket
Oecanthus niveus,Narrow-winged Tree Cricket
Oecanthus pini,Pine Tree Cricket
Oecanthus quadripunctatus,Four-spotted Tree Cricket
Oenanthe fusca,Brown Rock Chat
Oenanthe isabellina,Isabelline Wheatear
Oenanthe oenanthe,Northern Wheatear
Oncostoma cinereigulare,Northern Bentbill
Onychoprion fuscatus,Sooty Tern
Onychoprion lunatus,Gray-backed Tern
Onychorhynchus coronatus,Royal Flycatcher
Opisthocomus hoazin,Hoatzin
Oporornis agilis,Connecticut Warbler
Orchelimum agile,Agile Meadow Katydid
Orchelimum concinnum,Stripe-faced Meadow Katydid
Orchelimum pulchellum,Handsome Meadow Katydid
Oreomystis bairdi,Akikiki
Oreortyx pictus,Mountain Quail
Oreoscoptes montanus,Sage Thrasher
Oreothlypis superciliosa,Crescent-chested Warbler
Oriolus chinensis,Black-naped Oriole
Oriolus flavocinctus,Green Oriole
Oriolus kundoo,Indian Golden Oriole
Oriolus larvatus,African Black-headed Oriole
Oriolus oriolus,Eurasian Golden Oriole
Oriolus sagittatus,Olive-backed Oriole
Oriolus traillii,Maroon Oriole
Oriolus xanthornus,Black-hooded Oriole
Ornithion brunneicapillus,Brown-capped Tyrannulet
Ornithion inerme,White-lored Tyrannulet
Orocharis saltator,Jumping Bush Cricket
Ortalis canicollis,Chaco Chachalaca
Ortalis cinereiceps,Gray-headed Chachalaca
Ortalis columbiana,Colombian Chachalaca
Ortalis guttata,Speckled Chachalaca
Ortalis leucogastra,White-bellied Chachalaca
Ortalis poliocephala,West Mexican Chachalaca
Ortalis ruficauda,Rufous-vented Chachalaca
Ortalis vetula,Plain Chachalaca
Orthopsittaca manilatus,Red-bellied Macaw
Orthotomus atrogularis,Dark-necked Tailorbird
Orthotomus ruficeps,Ashy Tailorbird
Orthotomus sericeus,Rufous-tailed Tailorbird
Orthotomus sutorius,Common Tailorbird
Ortygornis pondicerianus,Gray Francolin
Otus bakkamoena,Indian Scops-Owl
Otus lettia,Collared Scops-Owl
Otus scops,Eurasian Scops-Owl
Otus spilocephalus,Mountain Scops-Owl
Oxyura jamaicensis,Ruddy Duck
Pachycephala pectoralis,Golden Whistler
Pachycephala rufiventris,Rufous Whistler
Pachyramphus aglaiae,Rose-throated Becard
Pachyramphus castaneus,Chestnut-crowned Becard
Pachyramphus cinnamomeus,Cinnamon Becard
Pachyramphus polychopterus,White-winged Becard
Pachyramphus validus,Crested Becard
Pachyramphus versicolor,Barred Becard
Pachyramphus viridis,Green-backed Becard
Pachysylvia aurantiifrons,Golden-fronted Greenlet
Pachysylvia decurtata,Lesser Greenlet
Pachysylvia hypoxantha,Dusky-capped Greenlet
Pachysylvia semibrunnea,Rufous-naped Greenlet
Padda oryzivora,Java Sparrow
Palmeria dolei,Akohekohe
Pandion haliaetus,Osprey
Panurus biarmicus,Bearded Reedling
Parabuteo unicinctus,Harris's Hawk
Pardalotus punctatus,Spotted Pardalote
Pardalotus striatus,Striated Pardalote
Pardirallus nigricans,Blackish Rail
Pardirallus sanguinolentus,Plumbeous Rail
Parkesia motacilla,Louisiana Waterthrush
Parkesia noveboracensis,Northern Waterthrush
Paroaria capitata,Yellow-billed Cardinal
Paroaria coronata,Red-crested Cardinal
Paroreomyza montana,Maui Alauahio
Parus cinereus,Cinereous Tit
Parus major,Great Tit
Parus minor,Japanese Tit
Parus monticolus,Green-backed Tit
Passer cinnamomeus,Russet Sparrow
Passer domesticus,House Sparrow
Passer griseus,Northern Gray-headed Sparrow
Passer hispaniolensis,Spanish Sparrow
Passer italiae,Italian Sparrow
Passer montanus,Eurasian Tree Sparrow
Passerculus sandwichensis,Savannah Sparrow
Passerella iliaca,Fox Sparrow
Passerina amoena,Lazuli Bunting
Passerina caerulea,Blue Grosbeak
Passerina ciris,Painted Bunting
Passerina cyanea,Indigo Bunting
Passerina versicolor,Varied Bunting
Pastor roseus,Rosy Starling
Patagioenas cayennensis,Pale-vented Pigeon
Patagioenas fasciata,Band-tailed Pigeon
Patagioenas flavirostris,Red-billed Pigeon
Patagioenas nigrirostris,Short-billed Pigeon
Patagioenas picazuro,Picazuro Pigeon
Patagioenas plumbea,Plumbeous Pigeon
Patagioenas speciosa,Scaled Pigeon
Patagioenas subvinacea,Ruddy Pigeon
Patagona gigas,Giant Hummingbird
Pavo cristatus,Indian Peafowl
Pelargopsis capensis,Stork-billed Kingfisher
Pellorneum ruficeps,Puff-throated Babbler
Penelope jacquacu,Spix's Guan
Penelope montagnii,Andean Guan
Penelope obscura,Dusky-legged Guan
Penelope purpurascens,Crested Guan
Perdicula asiatica,Jungle Bush-Quail
Perdix perdix,Gray Partridge
Pericrocotus cinnamomeus,Small Minivet
Pericrocotus divaricatus,Ashy Minivet
Pericrocotus ethologus,Long-tailed Minivet
Pericrocotus flammeus,Orange Minivet
Pericrocotus speciosus,Scarlet Minivet
Periparus ater,Coal Tit
Perisoreus canadensis,Canada Jay
Pernis apivorus,European Honey-buzzard
Pernis ptilorhynchus,Oriental Honey-buzzard
Petrochelidon fulva,Cave Swallow
Petrochelidon pyrrhonota,Cliff Swallow
Petroica macrocephala,Tomtit
Petronia petronia,Rock Sparrow
Peucaea aestivalis,Bachman's Sparrow
Peucaea botterii,Botteri's Sparrow
Peucaea carpalis,Rufous-winged Sparrow
Peucaea cassinii,Cassin's Sparrow
Peucaea ruficauda,Stripe-headed Sparrow
Peucedramus taeniatus,Olive Warbler
Phacellodomus ruber,Greater Thornbird
Phacellodomus rufifrons,Rufous-fronted Thornbird
Phacellodomus striaticollis,Freckle-breasted Thornbird
Phaeochroa cuvierii,Scaly-breasted Hummingbird
Phaeomyias murina,Mouse-colored Tyrannulet
Phaethon lepturus,White-tailed Tropicbird
Phaethon rubricauda,Red-tailed Tropicbird
Phaethornis eurynome,Scale-throated Hermit
Phaethornis guy,Green Hermit
Phaethornis longirostris,Long-billed Hermit
Phaethornis ruber,Reddish Hermit
Phaethornis striigularis,Stripe-throated Hermit
Phaethornis yaruqui,White-whiskered Hermit
Phaetusa simplex,Large-billed Tern
Phainopepla nitens,Phainopepla
Phalacrocorax carbo,Great Cormorant
Phalaenoptilus nuttallii,Common Poorwill
Phalaropus fulicarius,Red Phalarope
Phalaropus lobatus,Red-necked Phalarope
Phalaropus tricolor,Wilson's Phalarope
Pharomachrus auriceps,Golden-headed Quetzal
Pharomachrus mocinno,Resplendent Quetzal
Phasianus colchicus,Ring-necked Pheasant
Pheucticus aureoventris,Black-backed Grosbeak
Pheucticus chrysogaster,Golden Grosbeak
Pheucticus chrysopeplus,Yellow Grosbeak
Pheucticus ludovicianus,Rose-breasted Grosbeak
Pheucticus melanocephalus,Black-headed Grosbeak
Pheugopedius atrogularis,Black-throated Wren
Pheugopedius coraya,Coraya Wren
Pheugopedius euophrys,Plain-tailed Wren
Pheugopedius fasciatoventris,Black-bellied Wren
Pheugopedius felix,Happy Wren
Pheugopedius genibarbis,Moustached Wren
Pheugopedius maculipectus,Spot-breasted Wren
Pheugopedius mystacalis,Whiskered Wren
Pheugopedius rutilus,Rufous-breasted Wren
Pheugopedius sclateri,Speckle-breasted Wren
Philemon buceroides,Helmeted Friarbird
Philemon citreogularis,Little Friarbird
Philemon corniculatus,Noisy Friarbird
Phleocryptes melanops,Wren-like Rushbird
Phoebastria immutabilis,Laysan Albatross
Phoebastria nigripes,Black-footed Albatross
Phoenicopterus roseus,Greater Flamingo
Phoeniculus purpureus,Green Woodhoopoe
Phoenicurus auroreus,Daurian Redstart
Phoenicurus fuliginosus,Plumbeous Redstart
Phoenicurus ochruros,Black Redstart
Phoenicurus phoenicurus,Common Redstart
Phrygilus gayi,Gray-hooded Sierra Finch
Phrygilus patagonicus,Patagonian Sierra Finch
Phylidonyris novaehollandiae,New Holland Honeyeater
Phylidonyris pyrrhopterus,Crescent Honeyeater
Phyllergates cucullatus,Mountain Tailorbird
Phyllomyias fasciatus,Planalto Tyrannulet
Phyllomyias griseiceps,Sooty-headed Tyrannulet
Phyllomyias nigrocapillus,Black-capped Tyrannulet
Phyllopalpus pulchellus,Handsome Trig
Phylloscartes ophthalmicus,Marble-faced Bristle-Tyrant
Phylloscartes ventralis,Mottle-cheeked Tyrannulet
Phylloscopus bonelli,Western Bonelli's Warbler
Phylloscopus borealis,Arctic Warbler
Phylloscopus collybita,Common Chiffchaff
Phylloscopus coronatus,Eastern Crowned Warbler
Phylloscopus fuscatus,Dusky Warbler
Phylloscopus humei,Hume's Warbler
Phylloscopus ibericus,Iberian Chiffchaff
Phylloscopus inornatus,Yellow-browed Warbler
Phylloscopus maculipennis,Ashy-throated Warbler
Phylloscopus magnirostris,Large-billed Leaf Warbler
Phylloscopus nitidus,Green Warbler
Phylloscopus plumbeitarsus,Two-barred Warbler
Phylloscopus proregulus,Pallas's Leaf Warbler
Phylloscopus pulcher,Buff-barred Warbler
Phylloscopus reguloides,Blyth's Leaf Warbler
Phylloscopus schwarzi,Radde's Warbler
Phylloscopus sibilatrix,Wood Warbler
Phylloscopus tenellipes,Pale-legged Leaf Warbler
Phylloscopus trochiloides,Greenish Warbler
Phylloscopus trochilus,Willow Warbler
Phylloscopus whistleri,Whistler's Warbler
Phylloscopus xanthoschistos,Gray-hooded Warbler
Phytotoma rutila,White-tipped Plantcutter
Piaya cayana,Squirrel Cuckoo
Pica hudsonia,Black-billed Magpie
Pica nuttalli,Yellow-billed Magpie
Pica pica,Eurasian Magpie
Picoides arcticus,Black-backed Woodpecker
Picoides dorsalis,American Three-toed Woodpecker
Piculus flavigula,Yellow-throated Woodpecker
Picumnus cirratus,White-barred Piculet
Picumnus temminckii,Ochre-collared Piculet
Picus canus,Gray-headed Woodpecker
Picus chlorolophus,Lesser Yellownape
Picus sharpei,Iberian Green Woodpecker
Picus viridis,Eurasian Green Woodpecker
Pinicola enucleator,Pine Grosbeak
Pionites melanocephalus,Black-headed Parrot
Pionus chalcopterus,Bronze-winged Parrot
Pionus maximiliani,Scaly-headed Parrot
Pionus menstruus,Blue-headed Parrot
Pionus senilis,White-crowned Parrot
Pionus sordidus,Red-billed Parrot
Pionus tumultuosus,Speckle-faced Parrot
Pipile cumanensis,Blue-throated Piping-Guan
Pipilo chlorurus,Green-tailed Towhee
Pipilo erythrophthalmus,Eastern Towhee
Pipilo maculatus,Spotted Towhee
Pipra fasciicauda,Band-tailed Manakin
Pipraeidea melanonota,Fawn-breasted Tanager
Pipreola riefferii,Green-and-black Fruiteater
Piprites chloris,Wing-barred Piprites
Piranga bidentata,Flame-colored Tanager
Piranga flava,Hepatic Tanager
Piranga leucoptera,White-winged Tanager
Piranga ludoviciana,Western Tanager
Piranga olivacea,Scarlet Tanager
Piranga rubra,Summer Tanager
Pitangus lictor,Lesser Kiskadee
Pitangus sulphuratus,Great Kiskadee
Pitta brachyura,Indian Pitta
Platycercus caledonicus,Green Rosella
Platycercus elegans,Crimson Rosella
Platycercus eximius,Eastern Rosella
Platyrinchus coronatus,Golden-crowned Spadebill
Platyrinchus mystaceus,White-throated Spadebill
Platysteira cyanea,Brown-throated Wattle-eye
Plectrophenax nivalis,Snow Bunting
Plegadis chihi,White-faced Ibis
Plegadis falcinellus,Glossy Ibis
Plocepasser mahali,White-browed Sparrow-Weaver
Ploceus cucullatus,Village Weaver
Ploceus manyar,Streaked Weaver
Ploceus philippinus,Baya Weaver
Pluvialis apricaria,European Golden-Plover
Pluvialis dominica,American Golden-Plover
Pluvialis fulva,Pacific Golden-Plover
Pluvialis squatarola,Black-bellied Plover
Pnoepyga pusilla,Pygmy Cupwing
Podiceps auritus,Horned Grebe
Podiceps cristatus,Great Crested Grebe
Podiceps grisegena,Red-necked Grebe
Podiceps nigricollis,Eared Grebe
Podilymbus podiceps,Pied-billed Grebe
Poecile atricapillus,Black-capped Chickadee
Poecile carolinensis,Carolina Chickadee
Poecile gambeli,Mountain Chickadee
Poecile hudsonicus,Boreal Chickadee
Poecile montanus,Willow Tit
Poecile palustris,Marsh Tit
Poecile rufescens,Chestnut-backed Chickadee
Poecile sclateri,Mexican Chickadee
Poecilotriccus plumbeiceps,Ochre-faced Tody-Flycatcher
Poecilotriccus sylvia,Slate-headed Tody-Flycatcher
Pogoniulus bilineatus,Yellow-rumped Tinkerbird
Pogoniulus chrysoconus,Yellow-fronted Tinkerbird
Pogoniulus pusillus,Red-fronted Tinkerbird
Poliocrania exsul,Chestnut-backed Antbird
Polioptila albiloris,White-lored Gnatcatcher
Polioptila bilineata,White-browed Gnatcatcher
Polioptila caerulea,Blue-gray Gnatcatcher
Polioptila californica,California Gnatcatcher
Polioptila dumicola,Masked Gnatcatcher
Polioptila melanura,Black-tailed Gnatcatcher
Polioptila nigriceps,Black-capped Gnatcatcher
Polioptila plumbea,Tropical Gnatcatcher
Pomatorhinus horsfieldii,Indian Scimitar-Babbler
Pomatorhinus musicus,Taiwan Scimitar-Babbler
Pomatorhinus ruficollis,Streak-breasted Scimitar-Babbler
Pomatorhinus schisticeps,White-browed Scimitar-Babbler
Poodytes gramineus,Little Grassbird
Pooecetes gramineus,Vesper Sparrow
Poospiza nigrorufa,Black-and-rufous Warbling Finch
Porphyrio martinica,Purple Gallinule
Porphyrio melanotus,Australasian Swamphen
Porphyrio poliocephalus,Gray-headed Swamphen
Porphyrio porphyrio,Western Swamphen
Porzana carolina,Sora
Porzana porzana,Spotted Crake
Power tools,Power tools
Premnoplex brunnescens,Spotted Barbtail
Prinia flaviventris,Yellow-bellied Prinia
Prinia gracilis,Graceful Prinia
Prinia hodgsonii,Gray-breasted Prinia
Prinia inornata,Plain Prinia
Prinia maculosa,Karoo Prinia
Prinia rufescens,Rufescent Prinia
Prinia socialis,Ashy Prinia
Prinia subflava,Tawny-flanked Prinia
Prinia sylvatica,Jungle Prinia
Procnias nudicollis,Bare-throated Bellbird
Procnias tricarunculatus,Three-wattled Bellbird
Progne chalybea,Gray-breasted Martin
Progne subis,Purple Martin
Progne tapera,Brown-chested Martin
Prosthemadera novaeseelandiae,Tui
Protonotaria citrea,Prothonotary Warbler
Prunella collaris,Alpine Accentor
Prunella modularis,Dunnock
Psaltriparus minimus,Bushtit
Psarocolius angustifrons,Russet-backed Oropendola
Psarocolius bifasciatus,Olive Oropendola
Psarocolius decumanus,Crested Oropendola
Psarocolius montezuma,Montezuma Oropendola
Psarocolius wagleri,Chestnut-headed Oropendola
Pseudacris brimleyi,Brimley's Chorus Frog
Pseudacris clarkii,Spotted Chorus Frog
Pseudacris crucifer,Spring Peeper
Pseudacris feriarum,Upland Chorus Frog
Pseudacris nigrita,Southern Chorus Frog
Pseudacris ocularis,Little Grass Frog
Pseudacris ornata,Ornate Chorus Frog
Pseudacris streckeri,Strecker's Chorus Frog
Pseudacris triseriata,Striped Chorus Frog
Pseudasthenes humicola,Dusky-tailed Canastero
Pseudibis papillosa,Red-naped Ibis
Pseudocolaptes boissonneautii,Streaked Tuftedcheek
Pseudoleistes guirahuro,Yellow-rumped Marshbird
Pseudoleistes virescens,Brown-and-yellow Marshbird
Pseudonestor xanthophrys,Maui Parrotbill
Pseudopipra pipra,White-crowned Manakin
Pseudoseisura lophotes,Brown Cacholote
Psilopogon asiaticus,Blue-throated Barbet
Psilopogon chrysopogon,Gold-whiskered Barbet
Psilopogon duvaucelii,Blue-eared Barbet
Psilopogon franklinii,Golden-throated Barbet
Psilopogon haemacephalus,Coppersmith Barbet
Psilopogon lineatus,Lineated Barbet
Psilopogon malabaricus,Malabar Barbet
Psilopogon mystacophanos,Red-throated Barbet
Psilopogon nuchalis,Taiwan Barbet
Psilopogon virens,Great Barbet
Psilopogon viridis,White-cheeked Barbet
Psilopogon zeylanicus,Brown-headed Barbet
Psilorhinus morio,Brown Jay
Psiloscops flammeolus,Flammulated Owl
Psittacara erythrogenys,Red-masked Parakeet
Psittacara holochlorus,Green Parakeet
Psittacara leucophthalmus,White-eyed Parakeet
Psittacara mitratus,Mitred Parakeet
Psittacara wagleri,Scarlet-fronted Parakeet
Psittacula alexandri,Red-breasted Parakeet
Psittacula columboides,Malabar Parakeet
Psittacula cyanocephala,Plum-headed Parakeet
Psittacula eupatria,Alexandrine Parakeet
Psittacula krameri,Rose-ringed Parakeet
Psittacus erithacus,Gray Parrot
Psophodes olivaceus,Eastern Whipbird
Pternistis erckelii,Erckel's Francolin
Pterocles exustus,Chestnut-bellied Sandgrouse
Pterodroma cookii,Cook's Petrel
Pterodroma externa,Juan Fernandez Petrel
Pterodroma inexpectata,Mottled Petrel
Pterodroma neglecta,Kermadec Petrel
Pterodroma nigripennis,Black-winged Petrel
Pterodroma sandwichensis,Hawaiian Petrel
Pteroglossus aracari,Black-necked Aracari
Pteroglossus castanotis,Chestnut-eared Aracari
Pteroglossus torquatus,Collared Aracari
Pterophylla camellifolia,Common True Katydid
Pteroptochos megapodius,Moustached Turca
Pterorhinus chinensis,Black-throated Laughingthrush
Pteruthius aeralatus,Blyth's Shrike-Babbler
Ptilinopus magnificus,Wompoo Fruit-Dove
Ptiliogonys caudatus,Long-tailed Silky-flycatcher
Ptiliogonys cinereus,Gray Silky-flycatcher
Ptilonorhynchus violaceus,Satin Bowerbird
Ptilotula fusca,Fuscous Honeyeater
Ptilotula penicillata,White-plumed Honeyeater
Ptyonoprogne rupestris,Eurasian Crag-Martin
Puffinus nativitatis,Christmas Shearwater
Puffinus newelli,Newell's Shearwater
Puffinus puffinus,Manx Shearwater
Pulsatrix perspicillata,Spectacled Owl
Purnella albifrons,White-fronted Honeyeater
Pycnonotus aurigaster,Sooty-headed Bulbul
Pycnonotus barbatus,Common Bulbul
Pycnonotus cafer,Red-vented Bulbul
Pycnonotus goiavier,Yellow-vented Bulbul
Pycnonotus jocosus,Red-whiskered Bulbul
Pycnonotus leucogenys,Himalayan Bulbul
Pycnonotus luteolus,White-browed Bulbul
Pycnonotus plumosus,Olive-winged Bulbul
Pycnonotus sinensis,Light-vented Bulbul
Pycnonotus xanthopygos,White-spectacled Bulbul
Pygochelidon cyanoleuca,Blue-and-white Swallow
Pyriglena leucoptera,White-shouldered Fire-eye
Pyrilia haematotis,Brown-hooded Parrot
Pyrocephalus rubinus,Vermilion Flycatcher
Pyroderus scutatus,Red-ruffed Fruitcrow
Pyrrhocorax graculus,Yellow-billed Chough
Pyrrhocorax pyrrhocorax,Red-billed Chough
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher
Pyrrhula pyrrhula,Eurasian Bullfinch
Pyrrhura frontalis,Maroon-bellied Parakeet
Pyrrhura melanura,Maroon-tailed Parakeet
Querula purpurata,Purple-throated Fruitcrow
Quiscalus lugubris,Carib Grackle
Quiscalus major,Boat-tailed Grackle
Quiscalus mexicanus,Great-tailed Grackle
Quiscalus quiscula,Common Grackle
Rallus aquaticus,Water Rail
Rallus crepitans,Clapper Rail
Rallus elegans,King Rail
Rallus limicola,Virginia Rail
Rallus obsoletus,Ridgway's Rail
Ramphastos ambiguus,Yellow-throated Toucan
Ramphastos brevis,Choco Toucan
Ramphastos dicolorus,Red-breasted Toucan
Ramphastos sulfuratus,Keel-billed Toucan
Ramphastos toco,Toco Toucan
Ramphastos tucanus,White-throated Toucan
Ramphastos vitellinus,Channel-billed Toucan
Ramphocaenus melanurus,Long-billed Gnatwren
Ramphocelus bresilius,Brazilian Tanager
Ramphocelus carbo,Silver-beaked Tanager
Ramphocelus dimidiatus,Crimson-backed Tanager
Ramphocelus flammigerus,Flame-rumped Tanager
Ramphocelus passerinii,Scarlet-rumped Tanager
Recurvirostra americana,American Avocet
Recurvirostra avosetta,Pied Avocet
Regulus ignicapilla,Common Firecrest
Regulus regulus,Goldcrest
Regulus satrapa,Golden-crowned Kinglet
Remiz pendulinus,Eurasian Penduline-Tit
Rhipidura albicollis,White-throated Fantail
Rhipidura albiscapa,Gray Fantail
Rhipidura albogularis,Spot-breasted Fantail
Rhipidura aureola,White-browed Fantail
Rhipidura fuliginosa,New Zealand Fantail
Rhipidura javanica,Malaysian Pied-Fantail
Rhipidura leucophrys,Willie-wagtail
Rhipidura rufifrons,Rufous Fantail
Rhipidura rufiventris,Northern Fantail
Rhodinocichla rosea,Rosy Thrush-Tanager
Rhopospina fruticeti,Mourning Sierra Finch
Rhynchocyclus olivaceus,Olivaceous Flatbill
Rhynchophanes mccownii,Thick-billed Longspur
Rhynchotus rufescens,Red-winged Tinamou
Rhytipterna holerythra,Rufous Mourner
Rhytipterna simplex,Grayish Mourner
Riparia riparia,Bank Swallow
Rissa tridactyla,Black-legged Kittiwake
Rostrhamus sociabilis,Snail Kite
Rubigula erythropthalmos,Spectacled Bulbul
Rubigula flaviventris,Black-crested Bulbul
