ioc_12_2,comment
pteruthius aenobarbus,Trilling Shrike-babbler
erpornis zantholeuca,White-bellied Erpornis
cyclarhis gujanensis,Rufous-browed Peppershrike
cyclarhis nigrirostris,Black-billed Peppershrike
vireolanius melitophrys,Chestnut-sided Shrike-Vireo
vireolanius pulchellus,Green Shrike-Vireo
vireolanius eximius,Yellow-browed Shrike-Vireo
vireolanius leucotis,Slaty-capped Shrike-Vireo
hylophilus amaurocephalus,Grey-eyed Greenlet
hylophilus poicilotis,Rufous-crowned Greenlet
hylophilus olivaceus,Olivaceous Greenlet
hylophilus pectoralis,Ashy-headed Greenlet
hylophilus brunneiceps,Brown-headed Greenlet
hylophilus thoracicus,Lemon-chested Greenlet
hylophilus flavipes,Scrub Greenlet
hylophilus semicinereus,Grey-chested Greenlet
tunchiornis ochraceiceps,Tawny-crowned Greenlet
pachysylvia decurtata,Lesser Greenlet
pachysylvia hypoxantha,Dusky-capped Greenlet
pachysylvia muscicapina,Buff-cheeked Greenlet
pachysylvia aurantiifrons,Golden-fronted Greenlet
pachysylvia semibrunnea,Rufous-naped Greenlet
vireo hypochryseus,Golden Vireo
vireo flavoviridis,Yellow-green Vireo
vireo olivaceus,Red-eyed Vireo
vireo magister,Yucatan Vireo
vireo altiloquus,Black-whiskered Vireo
vireo chivi,Chivi Vireo
vireo gracilirostris,Noronha Vireo
vireo sclateri,Tepui Vireo
vireo philadelphicus,Philadelphia Vireo
vireo gilvus,Warbling Vireo
vireo leucophrys,Brown-capped Vireo
vireo huttoni,Hutton's Vireo
vireo vicinior,Grey Vireo
vireo flavifrons,Yellow-throated Vireo
vireo carmioli,Yellow-winged Vireo
vireo masteri,Choco Vireo
vireo solitarius,Blue-headed Vireo
vireo cassinii,Cassin's Vireo
vireo plumbeus,Plumbeous Vireo
vireo osburni,Blue Mountain Vireo
vireo nanus,Flat-billed Vireo
vireo pallens,Mangrove Vireo
vireo approximans,Providencia Vireo
vireo bairdi,Cozumel Vireo
vireo caribaeus,San Andres Vireo
vireo griseus,White-eyed Vireo
vireo crassirostris,Thick-billed Vireo
vireo modestus,Jamaican Vireo
vireo gundlachii,Cuban Vireo
vireo bellii,Bell's Vireo
vireo latimeri,Puerto Rican Vireo
vireo atricapilla,Black-capped Vireo
vireo nelsoni,Dwarf Vireo
vireo brevipennis,Slaty Vireo
turnagra tanagra,North Island Piopio
turnagra capensis,South Island Piopio
sphecotheres viridis,Green Figbird
sphecotheres hypoleucus,Wetar Figbird
sphecotheres vieilloti,Australasian Figbird
pitohui kirhocephalus,Northern Variable Pitohui
pitohui cerviniventris,Raja Ampat Pitohui
pitohui uropygialis,Southern Variable Pitohui
pitohui dichrous,Hooded Pitohui
oriolus isabellae,Isabela Oriole
oriolus forsteni,Grey-collared Oriole
oriolus bouroensis,Black-eared Oriole
oriolus phaeochromus,Dusky-brown Oriole
oriolus sagittatus,Olive-backed Oriole
oriolus melanotis,Timor Oriole
oriolus finschi,Wetar Oriole
oriolus decipiens,Tanimbar Oriole
oriolus szalayi,Brown Oriole
oriolus flavocinctus,Green Oriole
oriolus cruentus,Black-and-crimson Oriole
oriolus hosii,Black Oriole
oriolus traillii,Maroon Oriole
oriolus mellianus,Silver Oriole
oriolus xanthornus,Black-hooded Oriole
oriolus xanthonotus,Dark-throated Oriole
oriolus steerii,Philippine Oriole
oriolus albiloris,White-lored Oriole
oriolus chlorocephalus,Green-headed Oriole
oriolus brachyrynchus,Western Oriole
oriolus crassirostris,Sao Tome Oriole
oriolus larvatus,Black-headed Oriole
oriolus monacha,Ethiopian Oriole
oriolus percivali,Mountain Oriole
oriolus nigripennis,Black-winged Oriole
oriolus auratus,African Golden Oriole
oriolus kundoo,Indian Golden Oriole
oriolus oriolus,Eurasian Golden Oriole
oriolus chinensis,Black-naped Oriole
oriolus tenuirostris,Slender-billed Oriole
dicrurus aeneus,Bronzed Drongo
dicrurus remifer,Lesser Racket-tailed Drongo
dicrurus annectens,Crow-billed Drongo
dicrurus paradiseus,Greater Racket-tailed Drongo
dicrurus lophorinus,Sri Lanka Drongo
dicrurus andamanensis,Andaman Drongo
dicrurus sumatranus,Sumatran Drongo
dicrurus montanus,Sulawesi Drongo
dicrurus bracteatus,Spangled Drongo
dicrurus megarhynchus,Paradise Drongo
dicrurus hottentottus,Hair-crested Drongo
dicrurus menagei,Tablas Drongo
dicrurus palawanensis,Palawan Drongo
dicrurus balicassius,Balicassiao
dicrurus densus,Wallacean Drongo
dicrurus leucophaeus,Ashy Drongo
dicrurus caerulescens,White-bellied Drongo
dicrurus waldenii,Mayotte Drongo
dicrurus forficatus,Crested Drongo
dicrurus aldabranus,Aldabra Drongo
dicrurus fuscipennis,Grand Comoro Drongo
dicrurus modestus,Velvet-mantled Drongo
dicrurus adsimilis,Fork-tailed Drongo
dicrurus macrocercus,Black Drongo
dicrurus atactus,Fanti Drongo
dicrurus divaricatus,Glossy-backed Drongo
dicrurus ludwigii,Common Square-tailed Drongo
dicrurus atripennis,Shining Drongo
dicrurus occidentalis,Western Square-tailed Drongo
dicrurus sharpei,Sharpe's Drongo
rhipidura superciliaris,Mindanao Blue Fantail
rhipidura samarensis,Visayan Blue Fantail
rhipidura cyaniceps,Blue-headed Fantail
rhipidura sauli,Tablas Fantail
rhipidura albiventris,Visayan Fantail
rhipidura albicollis,White-throated Fantail
rhipidura albogularis,White-spotted Fantail
rhipidura euryura,White-bellied Fantail
rhipidura aureola,White-browed Fantail
rhipidura javanica,Malaysian Pied Fantail
rhipidura nigritorquis,Philippine Pied Fantail
rhipidura perlata,Spotted Fantail
rhipidura leucophrys,Willie Wagtail
rhipidura diluta,Brown-capped Fantail
rhipidura fuscorufa,Cinnamon-tailed Fantail
rhipidura rufiventris,Northern Fantail
rhipidura kordensis,Biak Fantail
rhipidura cockerelli,Cockerell's Fantail
rhipidura threnothorax,Sooty Thicket Fantail
rhipidura maculipectus,Black Thicket Fantail
rhipidura leucothorax,White-bellied Thicket Fantail
rhipidura atra,Black Fantail
rhipidura hyperythra,Chestnut-bellied Fantail
rhipidura albolimbata,Friendly Fantail
rhipidura albiscapa,Grey Fantail
rhipidura fuliginosa,New Zealand Fantail
rhipidura phasiana,Mangrove Fantail
rhipidura drownei,Brown Fantail
rhipidura tenebrosa,Makira Fantail
rhipidura rennelliana,Rennell Fantail
rhipidura verreauxi,Streaked Fantail
rhipidura personata,Kadavu Fantail
rhipidura nebulosa,Samoan Fantail
rhipidura phoenicura,Rufous-tailed Fantail
rhipidura nigrocinnamomea,Black-and-cinnamon Fantail
rhipidura brachyrhyncha,Dimorphic Fantail
rhipidura lepida,Palau Fantail
rhipidura dedemi,Streak-breasted Fantail
rhipidura superflua,Tawny-backed Fantail
rhipidura teysmanni,Sulawesi Fantail
rhipidura habibiei,Peleng Fantail
rhipidura sulaensis,Taliabu Fantail
rhipidura opistherythra,Long-tailed Fantail
rhipidura rufidorsa,Rufous-backed Fantail
rhipidura dahli,Bismarck Fantail
rhipidura matthiae,Mussau Fantail
rhipidura malaitae,Malaita Fantail
rhipidura semirubra,Manus Fantail
rhipidura rufifrons,Rufous Fantail
rhipidura kubaryi,Pohnpei Fantail
rhipidura dryas,Arafura Fantail
chaetorhynchus papuensis,Drongo Fantail
eutrichomyias rowleyi,Cerulean Flycatcher
lamprolia klinesmithi,Natewa Silktail
lamprolia victoriae,Taveuni Silktail
hypothymis azurea,Black-naped Monarch
hypothymis puella,Pale-blue Monarch
hypothymis helenae,Short-crested Monarch
hypothymis coelestis,Celestial Monarch
trochocercus cyanomelas,Blue-mantled Crested Flycatcher
trochocercus nitens,Blue-headed Crested Flycatcher
terpsiphone bedfordi,Bedford's Paradise Flycatcher
terpsiphone rufocinerea,Rufous-vented Paradise Flycatcher
terpsiphone rufiventer,Red-bellied Paradise Flycatcher
terpsiphone smithii,Annobon Paradise Flycatcher
terpsiphone batesi,Bates's Paradise Flycatcher
terpsiphone viridis,African Paradise Flycatcher
terpsiphone paradisi,Indian Paradise Flycatcher
terpsiphone affinis,Blyth's Paradise Flycatcher
terpsiphone floris,Tenggara Paradise Flycatcher
terpsiphone incei,Amur Paradise Flycatcher
terpsiphone atrocaudata,Japanese Paradise Flycatcher
terpsiphone cyanescens,Blue Paradise Flycatcher
terpsiphone cinnamomea,Rufous Paradise Flycatcher
terpsiphone atrochalybeia,Sao Tome Paradise Flycatcher
terpsiphone mutata,Malagasy Paradise Flycatcher
terpsiphone corvina,Seychelles Paradise Flycatcher
terpsiphone bourbonnensis,Mascarene Paradise Flycatcher
chasiempis sclateri,Kauai Elepaio
chasiempis ibidis,Oahu Elepaio
chasiempis sandwichensis,Hawaii Elepaio
pomarea dimidiata,Rarotonga Monarch
pomarea nigra,Tahiti Monarch
pomarea maupitiensis,Maupiti Monarch
pomarea mendozae,Marquesan Monarch
pomarea mira,Ua Pou Monarch
pomarea nukuhivae,Nuku Hiva Monarch
pomarea iphis,Iphis Monarch
pomarea fluxa,Eiao Monarch
pomarea whitneyi,Fatu Hiva Monarch
mayrornis schistaceus,Vanikoro Monarch
mayrornis versicolor,Ogea Monarch
mayrornis lessoni,Slaty Monarch
neolalage banksiana,Buff-bellied Monarch
clytorhynchus pachycephaloides,Southern Shrikebill
clytorhynchus vitiensis,Fiji Shrikebill
clytorhynchus nigrogularis,Black-throated Shrikebill
clytorhynchus sanctaecrucis,Santa Cruz Shrikebill
clytorhynchus hamlini,Rennell Shrikebill
metabolus rugensis,Chuuk Monarch
symposiachrus axillaris,Black Monarch
symposiachrus guttula,Spot-winged Monarch
symposiachrus mundus,Black-bibbed Monarch
symposiachrus sacerdotum,Flores Monarch
symposiachrus boanensis,Boano Monarch
symposiachrus melanopterus,Louisiade Monarch
symposiachrus trivirgatus,Spectacled Monarch
symposiachrus bimaculatus,Moluccan Monarch
symposiachrus leucurus,Kai Monarch
symposiachrus everetti,Tanahjampea Monarch
symposiachrus loricatus,Buru Monarch
symposiachrus julianae,Kofiau Monarch
symposiachrus brehmii,Biak Monarch
symposiachrus manadensis,Hooded Monarch
symposiachrus infelix,Manus Monarch
symposiachrus menckei,Mussau Monarch
symposiachrus verticalis,Black-tailed Monarch
symposiachrus barbatus,Solomons Monarch
symposiachrus browni,Kolombangara Monarch
symposiachrus vidua,White-collared Monarch
symposiachrus rubiensis,Rufous Monarch
monarcha cinerascens,Island Monarch
monarcha melanopsis,Black-faced Monarch
monarcha frater,Black-winged Monarch
monarcha erythrostictus,Bougainville Monarch
monarcha castaneiventris,Chestnut-bellied Monarch
monarcha richardsii,White-capped Monarch
monarcha godeffroyi,Yap Monarch
monarcha takatsukasae,Tinian Monarch
carterornis leucotis,White-eared Monarch
carterornis pileatus,White-naped Monarch
carterornis castus,Tanimbar Monarch
carterornis chrysomela,Golden Monarch
arses insularis,Ochre-collared Monarch
arses telescopthalmus,Frilled Monarch
arses lorealis,Frill-necked Monarch
arses kaupi,Pied Monarch
grallina cyanoleuca,Magpie-lark
grallina bruijnii,Torrent-lark
myiagra oceanica,Oceanic Flycatcher
myiagra erythrops,Palau Flycatcher
myiagra freycineti,Guam Flycatcher
myiagra pluto,Pohnpei Flycatcher
myiagra galeata,Moluccan Flycatcher
myiagra atra,Biak Black Flycatcher
myiagra rubecula,Leaden Flycatcher
myiagra ferrocyanea,Steel-blue Flycatcher
myiagra cervinicauda,Makira Flycatcher
myiagra caledonica,Melanesian Flycatcher
myiagra vanikorensis,Vanikoro Flycatcher
myiagra albiventris,Samoan Flycatcher
myiagra azureocapilla,Azure-crested Flycatcher
myiagra castaneigularis,Chestnut-throated Flycatcher
myiagra ruficollis,Broad-billed Flycatcher
myiagra cyanoleuca,Satin Flycatcher
myiagra alecto,Shining Flycatcher
myiagra hebetior,Mussau Flycatcher
myiagra eichhorni,Velvet Flycatcher
myiagra cervinicolor,Dyaul Flycatcher
myiagra nana,Paperbark Flycatcher
myiagra inquieta,Restless Flycatcher
platylophus galericulatus,Crested Jayshrike
platysmurus leucopterus,Malayan Black Magpie
platysmurus aterrimus,Bornean Black Magpie
perisoreus infaustus,Siberian Jay
perisoreus internigrans,Sichuan Jay
perisoreus canadensis,Canada Jay
cyanolyca armillata,Black-collared Jay
cyanolyca viridicyanus,White-collared Jay
cyanolyca turcosa,Turquoise Jay
cyanolyca pulchra,Beautiful Jay
cyanolyca cucullata,Azure-hooded Jay
cyanolyca pumilo,Black-throated Jay
cyanolyca nanus,Dwarf Jay
cyanolyca mirabilis,White-throated Jay
cyanolyca argentigula,Silvery-throated Jay
cyanocorax melanocyaneus,Bushy-crested Jay
cyanocorax sanblasianus,San Blas Jay
cyanocorax yucatanicus,Yucatan Jay
cyanocorax beecheii,Purplish-backed Jay
cyanocorax violaceus,Violaceous Jay
cyanocorax caeruleus,Azure Jay
cyanocorax cyanomelas,Purplish Jay
cyanocorax cristatellus,Curl-crested Jay
cyanocorax dickeyi,Tufted Jay
cyanocorax affinis,Black-chested Jay
cyanocorax mystacalis,White-tailed Jay
cyanocorax cayanus,Cayenne Jay
cyanocorax heilprini,Azure-naped Jay
cyanocorax chrysops,Plush-crested Jay
cyanocorax cyanopogon,White-naped Jay
cyanocorax luxuosus,Green Jay
cyanocorax yncas,Inca Jay
psilorhinus morio,Brown Jay
calocitta colliei,Black-throated Magpie-Jay
calocitta formosa,White-throated Magpie-Jay
cyanocitta cristata,Blue Jay
cyanocitta stelleri,Steller's Jay
aphelocoma wollweberi,Mexican Jay
aphelocoma ultramarina,Transvolcanic Jay
aphelocoma unicolor,Unicolored Jay
aphelocoma californica,California Scrub Jay
aphelocoma woodhouseii,Woodhouse's Scrub Jay
aphelocoma insularis,Island Scrub Jay
aphelocoma coerulescens,Florida Scrub Jay
gymnorhinus cyanocephalus,Pinyon Jay
garrulus glandarius,Eurasian Jay
garrulus lanceolatus,Black-headed Jay
garrulus lidthi,Lidth's Jay
cyanopica cyanus,Azure-winged Magpie
cyanopica cooki,Iberian Magpie
urocissa ornata,Sri Lanka Blue Magpie
urocissa caerulea,Taiwan Blue Magpie
urocissa flavirostris,Yellow-billed Blue Magpie
urocissa erythroryncha,Red-billed Blue Magpie
urocissa whiteheadi,White-winged Magpie
cissa chinensis,Common Green Magpie
cissa hypoleuca,Indochinese Green Magpie
cissa thalassina,Javan Green Magpie
cissa jefferyi,Bornean Green Magpie
dendrocitta vagabunda,Rufous Treepie
dendrocitta occipitalis,Sumatran Treepie
dendrocitta cinerascens,Bornean Treepie
dendrocitta formosae,Grey Treepie
dendrocitta leucogastra,White-bellied Treepie
dendrocitta frontalis,Collared Treepie
dendrocitta bayleii,Andaman Treepie
crypsirina temia,Racket-tailed Treepie
crypsirina cucullata,Hooded Treepie
temnurus temnurus,Ratchet-tailed Treepie
pica pica,Eurasian Magpie
pica mauritanica,Maghreb Magpie
pica asirensis,Asir Magpie
pica bottanensis,Black-rumped Magpie
pica serica,Oriental Magpie
pica hudsonia,Black-billed Magpie
pica nuttalli,Yellow-billed Magpie
zavattariornis stresemanni,Stresemann's Bushcrow
podoces hendersoni,Mongolian Ground Jay
podoces biddulphi,Xinjiang Ground Jay
podoces panderi,Turkestan Ground Jay
podoces pleskei,Iranian Ground Jay
nucifraga columbiana,Clark's Nutcracker
nucifraga caryocatactes,Spotted Nutcracker
nucifraga multipunctata,Kashmir Nutcracker
pyrrhocorax pyrrhocorax,Red-billed Chough
pyrrhocorax graculus,Alpine Chough
ptilostomus afer,Piapiac
coloeus monedula,Western Jackdaw
coloeus dauuricus,Daurian Jackdaw
corvus splendens,House Crow
corvus moneduloides,New Caledonian Crow
corvus typicus,Piping Crow
corvus unicolor,Banggai Crow
corvus enca,Slender-billed Crow
corvus samarensis,Small Crow
corvus pusillus,Palawan Crow
corvus violaceus,Violet Crow
corvus florensis,Flores Crow
corvus kubaryi,Mariana Crow
corvus validus,Long-billed Crow
corvus woodfordi,White-billed Crow
corvus meeki,Bougainville Crow
corvus fuscicapillus,Brown-headed Crow
corvus tristis,Grey Crow
corvus capensis,Cape Crow
corvus frugilegus,Rook
corvus brachyrhynchos,American Crow
corvus imparatus,Tamaulipas Crow
corvus sinaloae,Sinaloa Crow
corvus ossifragus,Fish Crow
corvus palmarum,Hispaniolan Palm Crow
corvus minutus,Cuban Palm Crow
corvus jamaicensis,Jamaican Crow
corvus nasicus,Cuban Crow
corvus leucognaphalus,White-necked Crow
corvus hawaiiensis,Hawaiian Crow
corvus corone,Carrion Crow
corvus cornix,Hooded Crow
corvus torquatus,Collared Crow
corvus macrorhynchos,Large-billed Crow
corvus levaillantii,Eastern Jungle Crow
corvus culminatus,Indian Jungle Crow
corvus orru,Torresian Crow
corvus insularis,Bismarck Crow
corvus bennetti,Little Crow
corvus tasmanicus,Forest Raven
corvus mellori,Little Raven
corvus coronoides,Australian Raven
corvus albus,Pied Crow
corvus ruficollis,Brown-necked Raven
corvus edithae,Somali Crow
corvus corax,Northern Raven
corvus cryptoleucus,Chihuahuan Raven
corvus rhipidurus,Fan-tailed Raven
corvus albicollis,White-necked Raven
corvus crassirostris,Thick-billed Raven
corcorax melanorhamphos,White-winged Chough
struthidea cinerea,Apostlebird
melampitta lugubris,Lesser Melampitta
megalampitta gigantea,Greater Melampitta
ifrita kowaldi,Blue-capped Ifrit
lycocorax pyrrhopterus,Halmahera Paradise-crow
lycocorax obiensis,Obi Paradise-crow
manucodia ater,Glossy-mantled Manucode
manucodia alter,Tagula Manucode
manucodia jobiensis,Jobi Manucode
manucodia chalybatus,Crinkle-collared Manucode
manucodia comrii,Curl-crested Manucode
phonygammus keraudrenii,Trumpet Manucode
paradigalla carunculata,Long-tailed Paradigalla
paradigalla brevicauda,Short-tailed Paradigalla
astrapia nigra,Arfak Astrapia
astrapia splendidissima,Splendid Astrapia
astrapia mayeri,Ribbon-tailed Astrapia
astrapia stephaniae,Princess Stephanie's Astrapia
astrapia rothschildi,Huon Astrapia
parotia sefilata,Western Parotia
parotia carolae,Queen Carola's Parotia
parotia berlepschi,Bronze Parotia
parotia lawesii,Lawes's Parotia
parotia helenae,Eastern Parotia
parotia wahnesi,Wahnes's Parotia
pteridophora alberti,King of Saxony Bird-of-paradise
lophorina superba,Greater Lophorina
lophorina niedda,Crescent-caped Lophorina
lophorina minor,Lesser Lophorina
ptiloris paradiseus,Paradise Riflebird
ptiloris victoriae,Victoria's Riflebird
ptiloris magnificus,Magnificent Riflebird
ptiloris intercedens,Growling Riflebird
epimachus fastosus,Black Sicklebill
epimachus meyeri,Brown Sicklebill
drepanornis albertisi,Black-billed Sicklebill
drepanornis bruijnii,Pale-billed Sicklebill
diphyllodes magnificus,Magnificent Bird-of-paradise
diphyllodes respublica,Wilson's Bird-of-paradise
cicinnurus regius,King Bird-of-paradise
semioptera wallacii,Standardwing
seleucidis melanoleucus,Twelve-wired Bird-of-paradise
paradisaea apoda,Greater Bird-of-paradise
paradisaea raggiana,Raggiana Bird-of-paradise
paradisaea minor,Lesser Bird-of-paradise
paradisaea decora,Goldie's Bird-of-paradise
paradisaea rubra,Red Bird-of-paradise
paradisaea guilielmi,Emperor Bird-of-paradise
paradisornis rudolphi,Blue Bird-of-paradise
tregellasia leucops,White-faced Robin
tregellasia capito,Pale-yellow Robin
quoyornis georgianus,White-breasted Robin
eopsaltria australis,Eastern Yellow Robin
eopsaltria griseogularis,Western Yellow Robin
gennaeodryas placens,Banded Yellow Robin
melanodryas cucullata,Hooded Robin
melanodryas vittata,Dusky Robin
peneothello sigillata,White-winged Robin
peneothello cryptoleuca,Smoky Robin
peneothello cyanus,Slaty Robin
peneothello bimaculata,White-rumped Robin
peneothello pulverulenta,Mangrove Robin
poecilodryas brachyura,Black-chinned Robin
poecilodryas hypoleuca,Black-sided Robin
poecilodryas superciliosa,White-browed Robin
poecilodryas cerviniventris,Buff-sided Robin
plesiodryas albonotata,Black-throated Robin
heteromyias albispecularis,Ashy Robin
heteromyias armiti,Black-capped Robin
heteromyias cinereifrons,Grey-headed Robin
drymodes beccarii,Papuan Scrub Robin
drymodes superciliaris,Northern Scrub Robin
drymodes brunneopygia,Southern Scrub Robin
microeca flavigaster,Lemon-bellied Flyrobin
microeca hemixantha,Golden-bellied Flyrobin
microeca fascinans,Jacky Winter
monachella muelleriana,Torrent Flyrobin
cryptomicroeca flaviventris,Yellow-bellied Flyrobin
kempiella griseoceps,Yellow-legged Flyrobin
kempiella flavovirescens,Olive Flyrobin
devioeca papuana,Canary Flyrobin
eugerygone rubra,Garnet Robin
petroica rosea,Rose Robin
petroica rodinogaster,Pink Robin
petroica archboldi,Snow Mountain Robin
petroica bivittata,Mountain Robin
petroica phoenicea,Flame Robin
petroica polymorpha,Solomons Robin
petroica pusilla,Pacific Robin
petroica multicolor,Norfolk Robin
petroica boodang,Scarlet Robin
petroica goodenovii,Red-capped Robin
petroica macrocephala,Tomtit
petroica longipes,North Island Robin
petroica australis,South Island Robin
petroica traversi,Black Robin
pachycephalopsis hattamensis,Green-backed Robin
pachycephalopsis poliosoma,White-eyed Robin
amalocichla sclateriana,Greater Ground Robin
amalocichla incerta,Lesser Ground Robin
picathartes gymnocephalus,White-necked Rockfowl
picathartes oreas,Grey-necked Rockfowl
chaetops frenatus,Cape Rockjumper
chaetops aurantius,Drakensberg Rockjumper
eupetes macrocerus,Rail-babbler
bombycilla garrulus,Bohemian Waxwing
bombycilla japonica,Japanese Waxwing
bombycilla cedrorum,Cedar Waxwing
phainoptila melanoxantha,Black-and-yellow Phainoptila
ptiliogonys cinereus,Grey Silky-flycatcher
ptiliogonys caudatus,Long-tailed Silky-flycatcher
phainopepla nitens,Phainopepla
hypocolius ampelinus,Grey Hypocolius
dulus dominicus,Palmchat
chaetoptila angustipluma,Kioea
moho braccatus,Kauai Oo
moho apicalis,Oahu Oo
moho bishopi,Bishop's Oo
moho nobilis,Hawaii Oo
hylocitrea bonensis,Hylocitrea
chelidorhynx hypoxanthus,Yellow-bellied Fantail
stenostira scita,Fairy Flycatcher
culicicapa ceylonensis,Grey-headed Canary-flycatcher
culicicapa helianthea,Citrine Canary-flycatcher
elminia longicauda,African Blue Flycatcher
elminia albicauda,White-tailed Blue Flycatcher
elminia nigromitrata,Dusky Crested Flycatcher
elminia albiventris,White-bellied Crested Flycatcher
elminia albonotata,White-tailed Crested Flycatcher
cephalopyrus flammiceps,Fire-capped Tit
sylviparus modestus,Yellow-browed Tit
melanochlora sultanea,Sultan Tit
periparus rufonuchalis,Rufous-naped Tit
periparus rubidiventris,Rufous-vented Tit
periparus ater,Coal Tit
pardaliparus venustulus,Yellow-bellied Tit
pardaliparus elegans,Elegant Tit
pardaliparus amabilis,Palawan Tit
lophophanes cristatus,Crested Tit
lophophanes dichrous,Grey-crested Tit
baeolophus wollweberi,Bridled Titmouse
baeolophus inornatus,Oak Titmouse
baeolophus ridgwayi,Juniper Titmouse
baeolophus bicolor,Tufted Titmouse
baeolophus atricristatus,Black-crested Titmouse
sittiparus varius,Varied Tit
sittiparus owstoni,Owston's Tit
sittiparus olivaceus,Iriomote Tit
sittiparus castaneoventris,Chestnut-bellied Tit
sittiparus semilarvatus,White-fronted Tit
poecile superciliosus,White-browed Tit
poecile lugubris,Sombre Tit
poecile cinctus,Grey-headed Chickadee
poecile rufescens,Chestnut-backed Chickadee
poecile hudsonicus,Boreal Chickadee
poecile sclateri,Mexican Chickadee
poecile carolinensis,Carolina Chickadee
poecile atricapillus,Black-capped Chickadee
poecile gambeli,Mountain Chickadee
poecile davidi,Pere David's Tit
poecile hypermelaenus,Black-bibbed Tit
poecile palustris,Marsh Tit
poecile weigoldicus,Sichuan Tit
poecile hyrcanus,Caspian Tit
poecile montanus,Willow Tit
cyanistes teneriffae,African Blue Tit
cyanistes caeruleus,Eurasian Blue Tit
cyanistes cyanus,Azure Tit
pseudopodoces humilis,Ground Tit
parus major,Great Tit
parus minor,Japanese Tit
parus cinereus,Cinereous Tit
parus monticolus,Green-backed Tit
machlolophus nuchalis,White-naped Tit
machlolophus holsti,Yellow Tit
machlolophus xanthogenys,Himalayan Black-lored Tit
machlolophus aplonotus,Indian Black-lored Tit
machlolophus spilonotus,Yellow-cheeked Tit
melaniparus guineensis,White-shouldered Black Tit
melaniparus leucomelas,White-winged Black Tit
melaniparus niger,Southern Black Tit
melaniparus carpi,Carp's Tit
melaniparus albiventris,White-bellied Tit
melaniparus leuconotus,White-backed Black Tit
melaniparus funereus,Dusky Tit
melaniparus rufiventris,Rufous-bellied Tit
melaniparus pallidiventris,Cinnamon-breasted Tit
melaniparus fringillinus,Red-throated Tit
melaniparus fasciiventer,Stripe-breasted Tit
melaniparus thruppi,Acacia Tit
melaniparus griseiventris,Miombo Tit
melaniparus cinerascens,Ashy Tit
melaniparus afer,Grey Tit
remiz pendulinus,Eurasian Penduline Tit
remiz macronyx,Black-headed Penduline Tit
remiz coronatus,White-crowned Penduline Tit
remiz consobrinus,Chinese Penduline Tit
anthoscopus punctifrons,Sennar Penduline Tit
anthoscopus parvulus,Yellow Penduline Tit
anthoscopus musculus,Mouse-colored Penduline Tit
anthoscopus flavifrons,Forest Penduline Tit
anthoscopus caroli,Grey Penduline Tit
anthoscopus minutus,Cape Penduline Tit
auriparus flaviceps,Verdin
nicator chloris,Western Nicator
nicator gularis,Eastern Nicator
nicator vireo,Yellow-throated Nicator
panurus biarmicus,Bearded Reedling
alaemon alaudipes,Greater Hoopoe-Lark
alaemon hamertoni,Lesser Hoopoe-Lark
chersomanes beesleyi,Beesley's Lark
chersomanes albofasciata,Spike-heeled Lark
ammomanopsis grayi,Gray's Lark
certhilauda chuana,Short-clawed Lark
certhilauda subcoronata,Karoo Long-billed Lark
certhilauda benguelensis,Benguela Long-billed Lark
certhilauda semitorquata,Eastern Long-billed Lark
certhilauda curvirostris,Cape Long-billed Lark
certhilauda brevirostris,Agulhas Long-billed Lark
pinarocorys nigricans,Dusky Lark
pinarocorys erythropygia,Rufous-rumped Lark
ramphocoris clotbey,Thick-billed Lark
ammomanes deserti,Desert Lark
ammomanes cinctura,Bar-tailed Lark
ammomanes phoenicura,Rufous-tailed Lark
eremopterix australis,Black-eared Sparrow-Lark
eremopterix hova,Madagascar Lark
eremopterix nigriceps,Black-crowned Sparrow-Lark
eremopterix leucotis,Chestnut-backed Sparrow-Lark
eremopterix griseus,Ashy-crowned Sparrow-Lark
eremopterix signatus,Chestnut-headed Sparrow-Lark
eremopterix verticalis,Grey-backed Sparrow-Lark
eremopterix leucopareia,Fischer's Sparrow-Lark
calendulauda sabota,Sabota Lark
calendulauda poecilosterna,Pink-breasted Lark
calendulauda alopex,Foxy Lark
calendulauda africanoides,Fawn-colored Lark
calendulauda albescens,Karoo Lark
calendulauda burra,Red Lark
calendulauda erythrochlamys,Dune Lark
calendulauda barlowi,Barlow's Lark
heteromirafra ruddi,Rudd's Lark
heteromirafra archeri,Archer's Lark
mirafra fasciolata,Eastern Clapper Lark
mirafra apiata,Cape Clapper Lark
mirafra hypermetra,Red-winged Lark
mirafra africana,Rufous-naped Lark
mirafra rufocinnamomea,Flappet Lark
mirafra angolensis,Angola Lark
mirafra williamsi,Williams's Lark
mirafra passerina,Monotonous Lark
mirafra cheniana,Melodious Lark
mirafra javanica,Horsfield's Bush Lark
mirafra cantillans,Singing Bush Lark
mirafra microptera,Burmese Bush Lark
mirafra assamica,Bengal Bush Lark
mirafra erythrocephala,Indochinese Bush Lark
mirafra erythroptera,Indian Bush Lark
mirafra affinis,Jerdon's Bush Lark
mirafra gilletti,Gillett's Lark
mirafra rufa,Rusty Bush Lark
mirafra collaris,Collared Lark
mirafra ashi,Ash's Lark
mirafra somalica,Somali Lark
mirafra pulpa,Friedmann's Lark
mirafra cordofanica,Kordofan Lark
mirafra albicauda,White-tailed Lark
lullula arborea,Woodlark
spizocorys obbiensis,Obbia Lark
spizocorys sclateri,Sclater's Lark
